Predictions,Ground Truth
Linux,Linux
Mac OS X,Mac OS X
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
iOS,iOS
Windows,Windows
Android,Android
Linux,Linux
Android,Android
iOS,iOS
Windows,Windows
Mac OS X,Mac OS X
Windows,Windows
Android,Android
Windows,Windows
Mac OS X,Mac OS X
Windows,Windows
Android,Android
iOS,iOS
Windows,Windows
Android,Android
Android,Android
Mac OS X,Mac OS X
Windows,Windows
iOS,iOS
Windows,Windows
iOS,iOS
Windows,Windows
iOS,iOS
Android,Android
iOS,iOS
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Android,Android
iOS,iOS
Mac OS X,Mac OS X
Android,Android
Android,Android
iOS,iOS
Windows,Windows
Android,Android
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Android,Android
Android,Android
Windows,Windows
Android,Android
Android,Android
Windows,Windows
iOS,Windows
Android,Android
Windows,Windows
Windows,Windows
Windows,Windows
iOS,iOS
iOS,iOS
iOS,iOS
Windows,Windows
Android,Android
Android,Android
Mac OS X,Mac OS X
Android,Android
Windows,Windows
Windows,Windows
Mac OS X,Mac OS X
Mac OS X,Mac OS X
Windows,Windows
Android,Android
Windows,Windows
Mac OS X,Mac OS X
Mac OS X,Mac OS X
Mac OS X,Mac OS X
Windows,Windows
Android,Android
Windows,Windows
Android,Android
Mac OS X,Mac OS X
Linux,Linux
Linux,Linux
Windows,Windows
Windows,Windows
iOS,iOS
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
iOS,iOS
Mac OS X,Mac OS X
Windows,Windows
Windows,Windows
Mac OS X,Mac OS X
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
iOS,iOS
Android,Android
Android,Android
Windows,Windows
Windows,Windows
Windows,Windows
Android,Android
Windows,Windows
Windows,Windows
Android,Android
Windows,Windows
Windows,Windows
Android,Android
Mac OS X,Mac OS X
Android,Android
Windows,Windows
Mac OS X,Mac OS X
Linux,Linux
Android,Android
Android,Android
iOS,iOS
Windows,Windows
Linux,Linux
Windows,Windows
Linux,Linux
Mac OS X,Mac OS X
Mac OS X,Mac OS X
Windows,Windows
Windows,Windows
Windows,Windows
iOS,iOS
Windows,Linux
Windows,Windows
Windows,Windows
Windows,Windows
iOS,iOS
Windows,Windows
Mac OS X,Mac OS X
iOS,Mac OS X
Windows,Windows
Android,Android
Windows,Windows
iOS,iOS
Android,Android
Android,Android
Mac OS X,Mac OS X
Android,Android
Android,Android
Android,Android
Android,Android
Android,Android
Windows,Windows
Windows,Android
iOS,Mac OS X
Mac OS X,Android
Windows,Windows
iOS,iOS
Windows,Windows
iOS,iOS
Android,Android
iOS,iOS
Android,Android
Android,Android
Windows,Windows
Windows,Windows
Android,Android
Windows,Windows
iOS,iOS
Windows,Windows
Windows,Windows
Android,Android
Mac OS X,Mac OS X
Windows,iOS
Linux,Linux
Mac OS X,Windows
Windows,Windows
Windows,Windows
Android,Android
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Android,Android
Android,Android
Linux,Linux
Windows,Windows
Android,Android
Windows,Windows
Android,Android
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
iOS,iOS
Android,Android
iOS,iOS
iOS,iOS
Mac OS X,Mac OS X
Linux,Linux
Windows,Windows
Android,Android
Mac OS X,Mac OS X
iOS,iOS
Android,Android
iOS,iOS
Windows,Windows
Windows,Windows
Android,Android
Android,Android
Android,Android
Android,Android
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Linux,Linux
Mac OS X,iOS
Windows,Windows
