Predictions,Ground Truth
Android - 9 - nan,Android - 10 - nan
Windows - 8 - nan,Windows - 10 - nan
Mac OS X - 10 - 12.0,Mac OS X - 10 - 11.0
iOS - 10 - 3.0,iOS - 10 - 3.0
iOS - nan - nan,iOS - nan - nan
Windows - 10 - nan,Windows - 10 - nan
Windows - 7 - nan,Windows - 7 - nan
Linux - nan - nan,Linux - nan - nan
Mac OS X - 10 - 10.0,Mac OS X - 10 - 10.0
iOS - 13 - 5.0,iOS - nan - nan
Ubuntu - nan - nan,Ubuntu - nan - nan
Windows - 10 - nan,Windows - 10 - nan
Mac OS X - 10 - 13.0,Mac OS X - 10 - 13.0
Windows - Vista - nan,Windows - Vista - nan
Windows - Vista - nan,Windows - 7 - nan
iOS - 10 - 3.0,iOS - 10 - 3.0
Windows - 8 - 1.0,Windows - 8 - 1.0
Android - 9 - nan,Android - 8 - 1.0
iOS - 13 - 4.0,Mac OS X - 10 - 15.0
Ubuntu - nan - nan,Ubuntu - nan - nan
iOS - 13 - 5.0,iOS - 13 - 4.0
Mac OS X - 10 - 14.0,Mac OS X - 10 - 14.0
Windows - 8 - 1.0,Windows - 8 - 1.0
Android - 10 - nan,Android - 9 - nan
Android - 6 - 0.0,Android - 6 - 0.0
Windows - 8 - 1.0,Windows - 8 - 1.0
Android - 8 - 0.0,Android - 7 - 0.0
Windows - 10 - nan,Windows - 10 - nan
Android - 6 - 0.0,Android - 6 - 0.0
Android - 10 - nan,Android - 10 - nan
Windows - 10 - nan,Windows - 10 - nan
Mac OS X - 10 - 10.0,Mac OS X - 10 - 10.0
Ubuntu - nan - nan,Ubuntu - nan - nan
Windows - 7 - nan,Windows - 7 - nan
iOS - nan - nan,Mac OS X - 10 - 14.0
Windows - 10 - nan,Windows - 10 - nan
iOS - 13 - 3.0,iOS - nan - nan
Android - 10 - nan,Android - 10 - nan
iOS - 13 - 3.0,Mac OS X - 10 - 15.0
Linux - nan - nan,Linux - nan - nan
Ubuntu - nan - nan,Linux - nan - nan
Windows - 10 - nan,Windows - 10 - nan
Android - 9 - nan,Android - 9 - nan
Windows - 10 - nan,Windows - 10 - nan
Android - 9 - nan,Android - 8 - 0.0
Android - 8 - 0.0,Android - 9 - nan
Windows - 7 - nan,Windows - 7 - nan
Android - 9 - nan,Android - 9 - nan
Ubuntu - nan - nan,Ubuntu - nan - nan
Windows - 10 - nan,Windows - 10 - nan
iOS - 10 - 3.0,iOS - 10 - 3.0
Windows - 10 - nan,Windows - 10 - nan
iOS - 13 - 5.0,iOS - 13 - 3.0
Windows - 8 - 1.0,Windows - 8 - 1.0
Android - 8 - 0.0,Android - 7 - 0.0
iOS - 13 - 4.0,iOS - 13 - 5.0
Windows - 10 - nan,Windows - 10 - nan
Mac OS X - 10 - 13.0,Mac OS X - 10 - 13.0
Linux - nan - nan,Linux - nan - nan
iOS - 13 - 5.0,iOS - 13 - 3.0
iOS - 13 - 5.0,iOS - nan - nan
Linux - nan - nan,Linux - nan - nan
Windows - 7 - nan,Windows - 8 - 1.0
Android - 7 - 0.0,Android - 8 - 0.0
Windows - 7 - nan,Windows - 7 - nan
iOS - 13 - 5.0,iOS - 13 - 5.0
Android - 9 - nan,Android - 8 - 0.0
Android - 9 - nan,Android - 9 - nan
iOS - nan - nan,iOS - nan - nan
Android - 6 - 0.0,Android - 6 - 0.0
iOS - 13 - 5.0,iOS - 13 - 5.0
Mac OS X - 10 - 15.0,Mac OS X - 10 - 15.0
Windows - 10 - nan,Windows - 10 - nan
Mac OS X - 10 - 11.0,Mac OS X - 10 - 13.0
