Predictions,Ground Truth
Windows - 2003,Windows - 2003
Windows - 2008,Windows - nan
Windows - nan,Windows - nan
iOS - 4.X,macOS - 10.11.X
Linux - 3.X,Linux - 4.X
iOS - 6.X,iOS - 4.X
BSD - 8.X,BSD - 8.X
Solaris - 7,Solaris - 7
BSD - 7.X,BSD - 7.X
Windows - XP,Windows - 2003
macOS - 10.11.X,macOS - 10.11.X
Linux - 2.6.X,Linux - 2.6.X
Linux - nan,Linux - nan
macOS - 10.10.X,iOS - 9.X
iOS - 12.X,iOS - 12.X
Windows - 2000,Windows - 2000
macOS - 10.7.X,macOS - 10.7.X
iOS - 9.X,iOS - 8.X
Windows - 2000,Windows - 2000
Linux - 3.X,Linux - 3.X
Linux - 3.X,Linux - 3.X
Windows - XP,Windows - XP
BSD - 6.X,BSD - 6.X
Windows - 2000,Windows - 2000
Windows - 7,Windows - nan
BSD - 7.X,BSD - 7.X
Windows - 2000,Windows - 2000
Linux - 3.X,Linux - 3.X
Windows - 2003,Windows - 2003
iOS - 12.X,iOS - 12.X
Solaris - 7,Solaris - 7
Windows - XP,Windows - XP
Windows - NT,Windows - nan
Windows - XP,Windows - XP
Linux - 4.X,Linux - 3.X
Windows - nan,Windows - nan
Windows - 2000,Windows - 2000
Linux - nan,Linux - nan
macOS - 10.5.X,macOS - 10.5.X
Windows - XP,Windows - XP
Linux - nan,Linux - nan
BSD - 8.X,BSD - 8.X
Windows - XP,Windows - XP
Linux - 2.4.X,BSD - 4.X
Linux - 4.X,Linux - 4.X
Windows - 2000,Windows - 2000
Windows - nan,Windows - nan
Linux - 2.6.X,Linux - 2.6.X
Windows - NT,Windows - NT
Android - 2.X,Android - 2.X
iOS - 6.X,iOS - 9.X
iOS - 4.X,macOS - 10.9.X
Android - nan,Android - nan
Windows - XP,Windows - XP
Linux - 2.6.X,Linux - 2.6.X
Windows - 2003,Windows - 2003
Windows - 3.X,Windows - 3.X
Windows - XP,Windows - XP
Windows - XP,Windows - XP
Windows - XP,Windows - XP
Linux - 2.4.X,Linux - 2.4.X
iOS - 5.X,macOS - 10.7.X
Linux - nan,Linux - nan
BSD - nan,BSD - nan
BSD - nan,BSD - nan
Linux - 3.X,Linux - 3.X
macOS - 10.5.X,macOS - 10.6.X
Android - 2.X,Android - 2.X
BSD - 7.X,BSD - 7.X
iOS - 12.X,iOS - 12.X
iOS - 5.X,macOS - 10.8.X
Windows - XP,Windows - XP
iOS - 12.X,iOS - 12.X
iOS - 12.X,iOS - 12.X
iOS - 12.X,iOS - 12.X
Windows - nan,Windows - nan
Windows - NT,Windows - NT
Windows - XP,Windows - XP
macOS - 10.5.X,macOS - 10.5.X
iOS - 9.X,iOS - 8.X
iOS - 7.X,iOS - 6.X
iOS - 12.X,iOS - 12.X
iOS - 9.X,macOS - 10.12.X
Linux - 3.X,Linux - 3.X
macOS - 10.8.X,macOS - 10.10.X
Linux - 2.6.X,Linux - 2.6.X
Linux - 4.X,Linux - 3.X
Windows - 2000,Windows - 2000
Windows - NT,Windows - NT
Linux - 4.X,Linux - 4.X
macOS - 10.10.X,macOS - 10.7.X
Windows - XP,Windows - XP
Linux - 4.X,Linux - 4.X
iOS - 9.X,iOS - 5.X
BSD - 4.X,BSD - 4.X
BSD - 6.X,BSD - 6.X
Windows - XP,Windows - XP
BSD - 6.X,BSD - 6.X
macOS - 10.5.X,macOS - 10.6.X
Linux - 3.X,Linux - 3.X
Windows - 2003,Windows - 2003
Windows - XP,Windows - XP
BSD - 7.X,BSD - 7.X
Android - 2.X,Android - 2.X
Windows - 2008,Windows - nan
Solaris - nan,Solaris - nan
Android - 2.X,Linux - 2.6.X
BSD - 8.X,BSD - 8.X
BSD - 4.X,BSD - 4.X
Windows - 2008,Windows - 7
Solaris - 7,Solaris - 7
Android - 2.X,Android - 2.X
Windows - 2000,Windows - 7
Linux - 4.X,Linux - 4.X
Linux - 3.X,Linux - 3.X
Linux - 2.6.X,Linux - 2.6.X
iOS - 8.X,iOS - 6.X
Windows - nan,Windows - nan
Windows - XP,Windows - XP
macOS - 10.10.X,iOS - 8.X
BSD - 8.X,BSD - 8.X
Linux - 4.X,Linux - 4.X
Windows - 7,Windows - nan
Windows - 7,Windows - nan
macOS - 10.11.X,macOS - 10.9.X
Windows - XP,Windows - XP
macOS - 10.6.X,macOS - 10.5.X
Windows - XP,Windows - XP
BSD - 8.X,BSD - 8.X
macOS - 10.8.X,macOS - 10.7.X
Solaris - 7,Solaris - 7
Windows - 2000,Windows - 2000
macOS - 10.6.X,macOS - 10.5.X
Linux - 2.6.X,Linux - 2.4.X
Linux - nan,Linux - nan
Linux - 2.6.X,Linux - 2.6.X
macOS - 10.12.X,iOS - 4.X
macOS - 10.5.X,macOS - 10.6.X
Linux - nan,Linux - nan
macOS - 10.8.X,macOS - 10.8.X
Windows - 2000,Windows - 2000
macOS - 10.9.X,iOS - 7.X
Linux - 2.6.X,Linux - 2.6.X
macOS - nan,macOS - nan
Windows - 3.X,Windows - 3.X
iOS - 12.X,iOS - 12.X
macOS - 10.12.X,macOS - 10.11.X
iOS - 12.X,iOS - 12.X
iOS - 12.X,iOS - 12.X
macOS - 10.10.X,macOS - 10.8.X
Windows - 2000,Windows - 2000
macOS - 10.6.X,macOS - 10.6.X
Windows - nan,Windows - nan
Windows - 7,Windows - nan
iOS - 8.X,iOS - 7.X
Linux - 4.X,Linux - 4.X
Linux - nan,Linux - nan
iOS - 6.X,iOS - 5.X
Solaris - 7,Solaris - 7
macOS - 10.5.X,macOS - 10.6.X
macOS - 10.6.X,macOS - 10.5.X
Linux - nan,Linux - nan
iOS - 4.X,macOS - 10.12.X
Windows - 2000,Windows - 2000
macOS - 10.7.X,macOS - 10.7.X
Windows - 2008,Windows - 2008
macOS - 10.8.X,iOS - 4.X
Linux - nan,Linux - nan
BSD - 7.X,BSD - 7.X
macOS - 10.7.X,macOS - 10.10.X
Solaris - 7,Solaris - 7
Linux - 3.X,Linux - 3.X
Linux - 2.6.X,Linux - 2.6.X
Windows - 2000,Windows - 2000
Linux - 3.X,Linux - 3.X
BSD - 5.X,BSD - 5.X
Linux - nan,Linux - nan
Windows - 2000,Windows - 2000
Solaris - nan,Solaris - nan
Linux - 4.X,Linux - 4.X
Linux - 4.X,Linux - 4.X
iOS - 12.X,iOS - 12.X
macOS - 10.12.X,iOS - 5.X
Linux - 3.X,Linux - 4.X
macOS - 10.7.X,macOS - 10.7.X
macOS - 10.6.X,macOS - 10.6.X
Linux - 2.6.X,Linux - 2.6.X
BSD - 7.X,BSD - 7.X
macOS - 10.5.X,macOS - 10.5.X
BSD - 8.X,BSD - 8.X
Windows - XP,Windows - XP
Linux - 2.6.X,Linux - 2.6.X
Linux - 4.X,Linux - 4.X
iOS - 12.X,iOS - 12.X
macOS - 10.10.X,iOS - 7.X
iOS - 12.X,iOS - 12.X
Windows - XP,Windows - XP
Windows - 2003,Windows - 2003
Linux - 3.X,Linux - 3.X
Solaris - 7,Solaris - 7
Linux - 2.6.X,Linux - 2.6.X
Windows - NT,Windows - NT
