Predictions,Ground Truth
Windows - 10,Windows - 10
Mac OS X - 10,Mac OS X - 10
Linux - nan,Linux - nan
Windows - 7,Windows - 7
iOS - 13,iOS - 13
Mac OS X - 10,Mac OS X - 10
Mac OS X - 10,Android - 6
Windows - 10,Windows - 10
Android - 10,Android - 10
Windows - 7,Windows - 7
Linux - nan,Linux - nan
Android - 9,Android - 9
Android - 6,Android - 6
Ubuntu - nan,Ubuntu - nan
Mac OS X - 10,iOS - nan
Windows - 8,Windows - 8
iOS - 13,iOS - 13
Android - 10,Android - 10
Mac OS X - 10,Mac OS X - 10
Windows - 7,Windows - 7
Windows - 10,Windows - 10
Android - 8,Android - 10
iOS - 13,iOS - 13
Mac OS X - 10,Mac OS X - 10
Android - 10,Android - 10
iOS - 13,iOS - 13
iOS - 13,iOS - 13
Windows - 7,Mac OS X - 10
Android - 5,Android - 8
Mac OS X - 10,Mac OS X - 10
Windows - 10,Windows - 10
Android - 10,Android - 10
Android - 9,Android - 8
Windows - XP,Windows - XP
Android - 7,Android - 7
Mac OS X - 10,Mac OS X - 10
Linux - nan,Linux - nan
Mac OS X - 10,Mac OS X - 10
iOS - 13,iOS - 13
Windows - 8,Windows - 8
iOS - 13,Mac OS X - 10
iOS - 13,iOS - 13
Ubuntu - nan,Mac OS X - 10
Mac OS X - nan,Windows - 7
Windows - 7,Windows - 7
iOS - 13,iOS - 13
Windows - 7,Windows - 7
Windows - 7,Windows - 7
Windows - 10,Windows - 10
Windows - 7,Windows - 7
Windows - 10,Windows - 10
Android - 10,Android - 9
Android - 9,Android - 10
Windows - 7,Windows - 7
Windows - 10,Windows - 10
Windows - 7,Windows - 7
Android - 9,Android - 9
Windows - 10,Windows - 10
Windows - 7,Ubuntu - nan
Mac OS X - 10,iOS - 13
iOS - 13,iOS - 13
iOS - 13,iOS - 13
Linux - nan,Android - 8
Mac OS X - 10,Mac OS X - 10
Mac OS X - 10,Mac OS X - 10
Mac OS X - 10,Mac OS X - 10
Windows - 8,Windows - 10
Windows - 7,Windows - 7
Windows - 10,Windows - 10
Windows - 10,Windows - 10
Mac OS X - 10,Mac OS X - 10
iOS - 13,iOS - 13
Android - 6,Android - 6
Mac OS X - 10,Mac OS X - 10
Android - 10,Android - 7
Windows - 8,Windows - 8
Windows - 7,Windows - 7
Android - 9,Android - 9
Windows - 10,Windows - 10
Android - 10,Android - 9
Android - 5,Android - 7
Android - 5,Android - 5
iOS - 13,iOS - 13
iOS - 13,iOS - 13
Windows - 8,Windows - 8
Android - 8,Android - 10
Windows - 10,Windows - 10
Windows - 8,Windows - 10
Android - 10,Android - 10
Windows - 7,Windows - 7
iOS - 13,iOS - 13
Windows - 10,Windows - 10
Windows - 10,Windows - 10
Windows - 10,Windows - 10
Windows - 10,Windows - 10
Android - 9,Android - 9
Android - 6,Android - 6
Windows - 10,Windows - 10
iOS - 10,iOS - 10
Windows - nan,Windows - 7
Android - 6,Android - 6
Windows - 10,Windows - 10
Android - 7,Android - 7
Mac OS X - 10,Mac OS X - 10
iOS - nan,iOS - nan
iOS - 13,iOS - 13
Android - 10,Android - 9
Android - 10,Android - 10
iOS - 13,iOS - 13
Android - 10,Android - 10
Android - 7,Android - 9
iOS - 13,iOS - 13
iOS - 13,iOS - 13
Windows - 7,Windows - 7
Windows - XP,Windows - XP
Android - 9,Android - 9
Android - 10,Android - 9
Windows - 7,Android - 7
Windows - 7,Windows - 7
iOS - 12,iOS - 12
Android - 8,Android - 5
Mac OS X - 10,Mac OS X - 10
Mac OS X - nan,Mac OS X - nan
Linux - nan,Android - 6
iOS - 13,iOS - 13
iOS - 10,iOS - 10
Windows - 7,Windows - 7
iOS - 12,iOS - 12
Windows - 10,Windows - 10
Ubuntu - nan,Ubuntu - nan
Windows - 10,Windows - 10
Windows - 10,Windows - 10
iOS - 12,iOS - 12
Android - 10,Android - 9
iOS - 12,iOS - 12
iOS - 13,iOS - 13
Android - 8,Android - 8
iOS - 13,iOS - 13
Windows - 10,Windows - 10
Android - 6,Android - 6
Android - 9,Android - 8
iOS - 13,iOS - 13
Android - 9,Android - 9
Windows - 8,Windows - 7
Mac OS X - 10,Mac OS X - 10
Android - 7,Android - 9
Windows - 8,Windows - 8
Mac OS X - 10,iOS - nan
Android - 7,Android - 9
Windows - 10,Windows - 10
Mac OS X - 10,iOS - nan
Android - 8,Android - 8
Windows - 7,Android - 9
Linux - nan,Linux - nan
Mac OS X - 10,Mac OS X - 10
iOS - 13,iOS - 13
Windows - 7,Windows - 7
Windows - 10,Windows - 10
Windows - 8,Windows - 10
iOS - 13,iOS - 13
Windows - 10,Windows - 10
Mac OS X - 10,Mac OS X - 10
Android - 7,Android - 7
Android - 10,Android - 10
Android - 4,Android - 4
Android - 9,Android - 10
Windows - 7,Windows - 7
Mac OS X - 10,Mac OS X - 10
Windows - 10,Windows - 10
Windows - 7,Windows - 7
Android - 6,Android - 6
Linux - nan,Linux - nan
iOS - 13,Mac OS X - 10
Windows - 7,Windows - 7
Android - 10,Android - 10
Mac OS X - 10,Mac OS X - 10
Windows - 7,Windows - 7
Android - 5,Android - 7
Mac OS X - 10,Mac OS X - 10
Android - 6,Android - 6
Android - 5,Android - 6
iOS - 13,iOS - 13
Linux - nan,Linux - nan
iOS - 13,iOS - nan
Windows - 10,Windows - 10
Android - 8,Android - 8
Mac OS X - 10,Mac OS X - 10
Linux - nan,Linux - nan
Mac OS X - 10,Mac OS X - 10
Mac OS X - 10,Mac OS X - 10
Windows - 10,Windows - 10
iOS - 13,iOS - 13
Android - 7,Android - 9
Android - 7,Android - 9
Android - 6,Android - 6
Linux - nan,Linux - nan
